2022-2023,
22CTT5,CONG NGHE THONG TIN,1,50,2022
22CTT2,CONG NGHE THONG TIN,50,50,2022
22CTT3,cong nghe thong tin,50,50,2022
22CTT4,cong nghe thong tin,50,50,2022
22CTT6,cong nghe thong tin,50,50,2022
20CTT1,CONG NGHE THONG TIN,50,50,2020
20CTT2,CONG NGHE THONG TIN,50,50,2020
20CTT3,CONG NGHE THONG TIN,50,50,2020
20CTT4,CONG NGHE THONG TIN,50,50,2020
22TTH1,TOAN TIN HOC,50,50,2022
22TTH2,TOAN TIN HOC,50,50,2022
22TTH3,TOAN TIN HOC,50,50,2022
22VLH1,VAT LY,50,50,2022
22KMT1,MOI TRUONG,50,50,2022
22DTV1,DIEN TU VIEN THONG,50,50,2022
22HOH1,HOA HOC,50,50,2022
